cc_binned,n,mean_pass,sem,mean_rubric
1,6936,0.8200547866205306,0.004573620724783421,4.595480103806229
2,6374,0.8622685911515532,0.004263733828623145,5.256314716033888
3,7301,0.8559375428023558,0.004031487209976666,6.086255307492125
4,6107,0.8161454069101032,0.004893896522518263,6.858482069756017
5,5883,0.801580826109128,0.005122475212915504,6.5292792792792795
6,4026,0.8037506209637357,0.006158788701499813,7.634438648782911
7,3428,0.7742415402567094,0.007008236752308089,8.064177362893815
8,3864,0.7661231884057972,0.006593456866906879,7.5727225672877845
9,2316,0.7243523316062176,0.009046732832577134,8.765975820379966
10,2482,0.7307413376309428,0.008533372018597859,8.067284448025786
11,1921,0.7214992191566892,0.009762521633813017,9.234383133784487
12,1897,0.7295730100158144,0.009812797184580835,9.16789667896679
13,1570,0.721656050955414,0.010783841503834674,10.224044585987262
14,1638,0.736996336996337,0.010408551643836923,10.584249084249084
15,1743,0.782730923694779,0.009205677005358674,11.169678714859439
16,3846,0.8765470618824752,0.004717954118537235,8.923751950078003
17,2529,0.819296164491894,0.007080051171492107,10.735369711348358
18,2131,0.813139371187236,0.007622255459292676,10.27885969028625
19,1932,0.8153726708074533,0.00810103786290025,11.91692546583851
20,2113,0.8388073828679603,0.007274829613360867,12.483080927591102
21,2184,0.8565476190476191,0.006788720126100529,13.408539377289378
22,2415,0.8311387163561077,0.0069480742660709555,13.52432712215321
23,2635,0.8540417457305504,0.00620450871212411,13.869924098671726
24,2986,0.8945746818486269,0.0051153705760832845,14.2073007367716
25,3430,0.9169387755102041,0.004284710892303432,14.380830903790088
26,4440,0.9327477477477477,0.003372735407378697,14.550337837837837
27,2119,0.8972628598395469,0.00605203568835471,14.293298725814063
28,1909,0.8675222629649031,0.00720125471673683,14.189366160293348
29,1264,0.8548259493670886,0.008871703215338452,14.251582278481013
30,1357,0.8669859985261607,0.008289420018306662,14.282056005895358
31,1598,0.8728410513141427,0.007473594228832945,14.506414267834794
32,1839,0.9058183795541055,0.006148185947955482,14.74904839586732
33,916,0.8455240174672489,0.010933456395039662,14.481713973799126
34,716,0.8534916201117319,0.01215220301465496,14.47032122905028
35,541,0.8146025878003696,0.014872019648567835,14.098890942698706
36,433,0.8288683602771362,0.016262278066900636,14.377020785219399
37,447,0.8818791946308725,0.013689921764140132,14.753914988814318
38,344,0.8383720930232558,0.017811638360434322,14.63953488372093
39,309,0.8155339805825242,0.019729349329178553,14.690938511326861
40,2029,0.7492853622474125,0.00868520123920138,15.087481517989158
