bin,n,mean_pass,sem
0,8,0.875,0.08398554297360605
1,27,0.9414814814814816,0.038739776534661
2,120,0.888,0.024780718989033487
3,249,0.8963052208835341,0.014728070624119662
4,379,0.8849604221635883,0.011406961219641111
5,216,0.8648148148148148,0.016841328078604
6,440,0.8037727272727273,0.014978229744892458
7,266,0.8027067669172933,0.019324840010984022
8,370,0.7398918918918919,0.017928623768999008
9,200,0.6911,0.025178637152241213
10,341,0.6778299120234604,0.019285761804350283
11,206,0.7060194174757282,0.025149016418408998
12,483,0.7672877846790891,0.014751935233342808
13,187,0.7028877005347594,0.02586107832957114
14,535,0.8316261682242991,0.0116002472562162
15,878,0.8879271070615035,0.007598810645428746
16,417,0.8035491606714628,0.014034675554987575
17,29,0.6482758620689656,0.050167377398599465
18,11,0.46545454545454545,0.07311713685914772
19,3,0.6133333333333333,0.08192137151629672
