source,bin,n,mean_pass,sem
Audit-clean extension,15,218,0.880183486238532,0.013705807757689984
Audit-clean extension,16,140,0.7967142857142857,0.024400403273911797
Audit-clean extension,17,4,0.56,0.20149441679609886
Audit-clean extension,18,3,0.6266666666666666,0.08743251365736
Original benchmark,9,200,0.6911,0.025178637152241213
Original benchmark,10,341,0.6778299120234604,0.019285761804350283
Original benchmark,11,206,0.7060194174757282,0.025149016418408998
Original benchmark,12,483,0.7672877846790891,0.014751935233342808
Original benchmark,13,187,0.7028877005347594,0.02586107832957114
Original benchmark,14,535,0.8316261682242991,0.0116002472562162
Original benchmark,15,660,0.8904848484848485,0.009041761355133921
Original benchmark,16,277,0.8070036101083032,0.01718312954123072
Original benchmark,17,25,0.6624000000000001,0.050336467893565995
Original benchmark,18,8,0.405,0.08813544770895047
